query,source,author,title,description,content,url,published_at
artificial intelligence,The New York Times,By Rick Rojas,"In 2024, Expect New Debates on A.I., Gender and Guns",Some of the most contentious issues in the country will dominate the agendas of state legislatures returning to work in the coming days and weeks.,Some of the most contentious issues in the country will dominate the agendas of state legislatures returning to work in the coming days and weeks.,https://www.nytimes.com/2024/01/02/us/state-legislatures-2024.html,2024-01-02T08:00:11Z
artificial intelligence,The New York Times,By Joy Buolamwini and Barry Friedman,How the Federal Government Can Rein In A.I. in Law Enforcement,Agencies should be required to provide verifiable evidence that the tools they use will not cause harm.,Agencies should be required to provide verifiable evidence that the tools they use will not cause harm.,https://www.nytimes.com/2024/01/02/opinion/ai-police-regulation.html,2024-01-02T10:02:24Z
artificial intelligence,The New York Times,By German Lopez,The Debt Matters Again,The changing economy has made federal debt a bigger problem.,The changing economy has made federal debt a bigger problem.,https://www.nytimes.com/2024/01/02/briefing/national-debt.html,2024-01-02T11:07:29Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Ephrat Livni and Lauren Hirsch",What We’re Watching in 2024,"From elections and A.I. to antitrust and shadow banking, here are the big themes that could define the worlds of business and policy.","From elections and A.I. to antitrust and shadow banking, here are the big themes that could define the worlds of business and policy.",https://www.nytimes.com/2024/01/02/business/dealbook/ai-antitrust-elections-watching-2024.html,2024-01-02T12:31:56Z
artificial intelligence,The New York Times,By Sopan Deb,"Boy, 13, Is Believed to Be the First to ‘Beat’ Tetris","Willis Gibson, a competitive Tetris player prodigy from Oklahoma, advanced so far in the original Nintendo version of the game that it froze. “I can’t feel my fingers,” he said afterward.","Willis Gibson, a competitive Tetris player prodigy from Oklahoma, advanced so far in the original Nintendo version of the game that it froze. “I can’t feel my fingers,” he said afterward.",https://www.nytimes.com/2024/01/03/arts/tetris-beat-blue-scuti.html,2024-01-03T16:13:54Z
artificial intelligence,The New York Times,,The Fallout From a Resignation at Harvard,Readers weigh in on Claudine Gay’s resignation as Harvard’s president. Also: Migrants in New York City; how to respond when attacked by Donald Trump.,Readers weigh in on Claudine Gay’s resignation as Harvard’s president. Also: Migrants in New York City; how to respond when attacked by Donald Trump.,https://www.nytimes.com/2024/01/03/opinion/claudine-gay-harvard-resignation.html,2024-01-03T18:53:46Z
artificial intelligence,The New York Times,By Ro Khanna,Democrats Must Not Repeat the Mistakes of Globalization,The advent of A.I. doesn’t have to mean the death of labor. ,The advent of A.I. doesn’t have to mean the death of labor. ,https://www.nytimes.com/2024/01/04/opinion/artificial-intelligence-truckers-writers.html,2024-01-04T10:02:12Z
artificial intelligence,The New York Times,By David Leonhardt,"A.I. Questions, Answered",We ask Times technology reporters to make artificial intelligence more comprehensible.,We ask Times technology reporters to make artificial intelligence more comprehensible.,https://www.nytimes.com/2024/01/04/briefing/ai-questions-answered.html,2024-01-04T11:33:37Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",The Fight Over D.E.I. in the C-suite,"Claudine Gay’s resignation as Harvard president is adding to the wider debate in boardrooms over diversity, equity and inclusion policies.","Claudine Gay’s resignation as Harvard president is adding to the wider debate in boardrooms over diversity, equity and inclusion policies.",https://www.nytimes.com/2024/01/04/business/dealbook/claudine-gay-dei-esg.html,2024-01-04T13:06:28Z
artificial intelligence,The New York Times,By Emmett Lindner,Happy Puppies and Silly Geese: Pushing the Limits of A.I. Absurdity,A recent update to ChatGPT made it easier to create images. It wasn’t long before some began pushing the chatbot to its limits.,A recent update to ChatGPT made it easier to create images. It wasn’t long before some began pushing the chatbot to its limits.,https://www.nytimes.com/2024/01/04/technology/ai-chatgpt-images-memes.html,2024-01-04T15:20:33Z
artificial intelligence,The New York Times,"By Travis Diehl, Yinka Elujoba, Roberta Smith, Holland Cotter, Martha Schwendener, Jillian Steinhauer and Will Heinrich",What to See in N.Y.C. Galleries in February,"This week, Martha Schwendener covers Astrid Klein’s “photoworks,” the group show “Godzilla,” featuring Asian American artists, David Levine’s hypnotic volumetric projection and Theaster Gates’s first solo at White Cube.","This week, Martha Schwendener covers Astrid Klein’s “photoworks,” the group show “Godzilla,” featuring Asian American artists, David Levine’s hypnotic volumetric projection and Theaster Gates’s first solo at White Cube.",https://www.nytimes.com/2024/02/14/arts/design/nyc-galleries-february.html,2024-02-01T06:55:25Z
artificial intelligence,The New York Times,By Kevin Roose,Can This A.I.-Powered Search Engine Replace Google? It Has for Me.,A start-up called Perplexity shows what’s possible for a search engine built from scratch with artificial intelligence.,A start-up called Perplexity shows what’s possible for a search engine built from scratch with artificial intelligence.,https://www.nytimes.com/2024/02/01/technology/perplexity-search-ai-google.html,2024-02-01T10:00:44Z
artificial intelligence,The New York Times,By Sapna Maheshwari,A.I. Fuels a New Era of Product Placement,Realistic-looking shampoo bottles and seltzer cans are popping up on videos from digital creators on TikTok and YouTube in a new form of old advertising.,Realistic-looking shampoo bottles and seltzer cans are popping up on videos from digital creators on TikTok and YouTube in a new form of old advertising.,https://www.nytimes.com/2024/02/01/business/media/artificial-intelligence-product-placement.html,2024-02-01T10:00:57Z
artificial intelligence,The New York Times,By Jon Caramanica,Have We Reached the End of TikTok’s Infinite Scroll?,"The app once offered seemingly endless chances to be charmed by music, dances, personalities and products. But in only a few short years, its promise of kismet is evaporating.","The app once offered seemingly endless chances to be charmed by music, dances, personalities and products. But in only a few short years, its promise of kismet is evaporating.",https://www.nytimes.com/2024/02/01/arts/music/tiktok-over.html,2024-02-01T10:01:11Z
artificial intelligence,The New York Times,By Travis Diehl,"For Thomas Hirschhorn, Handmade Art Keeps Us Human","The Swiss artist turns cardboard and tape to the problems of social media, artificial intelligence and digital warfare.","The Swiss artist turns cardboard and tape to the problems of social media, artificial intelligence and digital warfare.",https://www.nytimes.com/2024/02/01/arts/design/thomas-hirschhorn-art-gladstone.html,2024-02-01T10:02:27Z
artificial intelligence,The New York Times,By Steve Lohr,"Generative A.I.’s Biggest Impact Will Be in Banking and Tech, Report Says","For some companies, the new technology is an opportunity to enhance productivity and profit. Will their workers benefit as well?","For some companies, the new technology is an opportunity to enhance productivity and profit. Will their workers benefit as well?",https://www.nytimes.com/2024/02/01/business/ai-impact-jobs.html,2024-02-01T10:02:36Z
artificial intelligence,The New York Times,By Shawn Hubler,When the Storm Online Is Worse Than the One Outside,Meteorologists and climate scientists are increasingly having to combat misinformation cycles on social media.,Meteorologists and climate scientists are increasingly having to combat misinformation cycles on social media.,https://www.nytimes.com/2024/02/01/us/storm-misinformation-viral-social.html,2024-02-01T10:03:30Z
artificial intelligence,The New York Times,By Ben Sisario,Universal Music Group Pulls Songs From TikTok,"The music giant, home to stars like Taylor Swift and Drake, had threatened to withdraw licenses for its tracks to the social media juggernaut if they failed to come to a new agreement.","The music giant, home to stars like Taylor Swift and Drake, had threatened to withdraw licenses for its tracks to the social media juggernaut if they failed to come to a new agreement.",https://www.nytimes.com/2024/02/01/arts/music/universal-group-tiktok-music.html,2024-02-01T12:13:21Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch, Ephrat Livni and Benjamin Mullin",Will Congress Move on New Rules for Online Children’s Safety?,"Tech leaders faced a grilling in the Senate, and one offered an apology. But skeptics fear little will change this time.","Tech leaders faced a grilling in the Senate, and one offered an apology. But skeptics fear little will change this time.",https://www.nytimes.com/2024/02/01/business/dealbook/big-tech-child-safety-senate.html,2024-02-01T13:31:54Z
artificial intelligence,The New York Times,By Alissa Wilkinson,‘Argylle’ Review: A Cat Cannot Save It,A simulacrum of a spy movie offers few pleasures and plenty of headaches.,A simulacrum of a spy movie offers few pleasures and plenty of headaches.,https://www.nytimes.com/2024/02/01/movies/argylle-review.html,2024-02-01T14:21:58Z
artificial intelligence,The New York Times,"By Cade Metz, Tripp Mickle and Matthew Goldstein",S.E.C. Is Investigating OpenAI Over Its Board’s Actions,"The U.S. regulator opened its inquiry after the board unexpectedly fired the company’s chief executive, Sam Altman, in November.","The U.S. regulator opened its inquiry after the board unexpectedly fired the company’s chief executive, Sam Altman, in November.",https://www.nytimes.com/2024/02/29/technology/sec-openai-board-sam-altman.html,2024-03-01T00:43:02Z
artificial intelligence,The New York Times,By Mark Harris,How Bad Can It Get for Hollywood?,It’s time to find out what the film industry’s new normal looks like.,It’s time to find out what the film industry’s new normal looks like.,https://www.nytimes.com/2024/03/01/opinion/oscars-hollywood-extinction-event.html,2024-03-01T10:02:49Z
artificial intelligence,The New York Times,By Shreya Chattopadhyay,6 New Paperbacks to Read This Week ,"This week's selection includes titles by Mona Simpson, Joseph Earl Thomas, Jojo Moyes and more. ","This week's selection includes titles by Mona Simpson, Joseph Earl Thomas, Jojo Moyes and more. ",https://www.nytimes.com/interactive/2024/03/01/books/new-paperbacks-simpson.html,2024-03-01T10:04:54Z
artificial intelligence,The New York Times,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Jen Poyant, Chris Wood, Dan Powell, Marion Lozano, Rowan Niemisto and Diane Wong","Gemini’s Culture War, Kara Swisher Burns Us and SCOTUS Takes Up Content Moderation",We finally invited someone on the podcast who is meaner to Casey than Kevin is.,We finally invited someone on the podcast who is meaner to Casey than Kevin is.,https://www.nytimes.com/2024/03/01/podcasts/hardfork-google-gemini-kara-swisher.html,2024-03-01T10:04:55Z
artificial intelligence,The New York Times,"By Adam Satariano, Cade Metz and Tripp Mickle",Elon Musk Sues OpenAI and Sam Altman for Violating the Company’s Principles,Musk said the prominent A.I. start-up had put profits and commercial interests ahead of seeking to benefit humanity.,Musk said the prominent A.I. start-up had put profits and commercial interests ahead of seeking to benefit humanity.,https://www.nytimes.com/2024/03/01/technology/elon-musk-openai-sam-altman-lawsuit.html,2024-03-01T12:28:26Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",Why Elon Musk Is Taking OpenAI and Sam Altman to Court,The tech mogul wants to force the A.I. start-up to reveal its research to the public and prevent it from pursuing profits.,The tech mogul wants to force the A.I. start-up to reveal its research to the public and prevent it from pursuing profits.,https://www.nytimes.com/2024/03/01/business/dealbook/musk-lawsuit-openai-altman.html,2024-03-01T13:22:49Z
artificial intelligence,The New York Times,By Kurtis Lee,Unemployment Casts a Shadow Over California’s Economy,"Tech layoffs, fallout from Hollywood strikes and an uptick in rural joblessness challenge a state with one of the nation’s highest unemployment rates.","Tech layoffs, fallout from Hollywood strikes and an uptick in rural joblessness challenge a state with one of the nation’s highest unemployment rates.",https://www.nytimes.com/2024/03/01/business/economy/california-economy-unemployment.html,2024-03-01T18:17:53Z
artificial intelligence,The New York Times,By Yiwen Lu and Tripp Mickle,What Elon Musk and Sam Altman Said About Each Other,"Once united over the future of artificial intelligence, they have become increasingly estranged over the years.","Once united over the future of artificial intelligence, they have become increasingly estranged over the years.",https://www.nytimes.com/2024/03/01/technology/elon-musk-sam-altman-conversations-lawsuit.html,2024-03-01T18:39:03Z
artificial intelligence,The New York Times,By Matthew Cullen,Biden Said the U.S. Will Airdrop Supplies Into Gaza,"Also, thousands attended Aleksei Navalny’s funeral in Moscow. Here’s the latest at the end of Friday.","Also, thousands attended Aleksei Navalny’s funeral in Moscow. Here’s the latest at the end of Friday.",https://www.nytimes.com/2024/03/01/briefing/biden-airdrop-aid-gaza-navalny-funeral-moscow.html,2024-03-01T22:00:28Z
artificial intelligence,The New York Times,By Karen Weise and Cade Metz,Why Elon Musk’s OpenAI Lawsuit Leans on A.I. Research From Microsoft,"In his lawsuit against OpenAI and its chief executive, Sam Altman, Mr. Musk relies on a provocative paper from the start-up’s closest partner.","In his lawsuit against OpenAI and its chief executive, Sam Altman, Mr. Musk relies on a provocative paper from the start-up’s closest partner.",https://www.nytimes.com/2024/03/02/technology/elon-musk-openai-lawsuit-microsoft-research.html,2024-03-02T10:03:54Z
artificial intelligence,The New York Times,By Ed O’Loughlin,A New Chapter for Irish Historians’ ‘Saddest Book’,A globe-spanning research project has turned the catalog of a public archive destroyed in Ireland’s civil war into a model for reconstruction.,A globe-spanning research project has turned the catalog of a public archive destroyed in Ireland’s civil war into a model for reconstruction.,https://www.nytimes.com/2024/04/01/world/europe/ireland-history-virtual-records.html,2024-04-01T04:01:19Z
artificial intelligence,The New York Times,By Tiffany Hsu and Steven Lee Myers,China’s Advancing Efforts to Influence the U.S. Election Raise Alarms,"China has adopted some of the same misinformation tactics that Russia used ahead of the 2016 election, researchers and government officials say.","China has adopted some of the same misinformation tactics that Russia used ahead of the 2016 election, researchers and government officials say.",https://www.nytimes.com/2024/04/01/business/media/china-online-disinformation-us-election.html,2024-04-01T04:01:29Z
artificial intelligence,The New York Times,By Daniel E. Slotnik,Monday Briefing,Protests against Israel’s prime minister.,Protests against Israel’s prime minister.,https://www.nytimes.com/2024/04/01/briefing/israel-protest-russia-defector-killing.html,2024-04-01T04:01:32Z
artificial intelligence,The New York Times,By Motoko Rich and Kiuko Notoya,"‘Oppenheimer’ Opens in Nuclear-Scarred Japan, 8 Months After U.S. Premiere","While some viewers lamented the movie’s exclusion of scenes from Hiroshima or Nagasaki, others said they recognized that it had another story to tell.","While some viewers lamented the movie’s exclusion of scenes from Hiroshima or Nagasaki, others said they recognized that it had another story to tell.",https://www.nytimes.com/2024/04/01/world/asia/oppenheimer-opens-japan.html,2024-04-01T06:03:08Z
artificial intelligence,The New York Times,By Farah Stockman,Is This the Silicon Valley of Latin America?,A big investment in semiconductors could transform the relationship between the United States and its neighbors.,A big investment in semiconductors could transform the relationship between the United States and its neighbors.,https://www.nytimes.com/2024/04/01/opinion/intel-costa-rica-semiconductors.html,2024-04-01T09:03:16Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch, Ephrat Livni and Vivienne Walt",Auto Execs Call for New Measures as E.V. Wars Heat Up,"The latest proposal comes from Luca de Meo, the C.E.O. of Renault Group, who is pushing for an Airbus-inspired alliance that would help European automakers fend off competition from cheaper Chinese-made electric vehicles.","The latest proposal comes from Luca de Meo, the C.E.O. of Renault Group, who is pushing for an Airbus-inspired alliance that would help European automakers fend off competition from cheaper Chinese-made electric vehicles.",https://www.nytimes.com/2024/04/01/business/dealbook/auto-execs-call-for-new-measures-as-ev-wars-heat-up.html,2024-04-01T11:22:22Z
artificial intelligence,The New York Times,By Steve Lohr,How One Tech Skeptic Decided A.I. Might Benefit the Middle Class,"David Autor, an M.I.T. economist and tech contrarian, argues that A.I. is fundamentally different from past waves of computerization.","David Autor, an M.I.T. economist and tech contrarian, argues that A.I. is fundamentally different from past waves of computerization.",https://www.nytimes.com/2024/04/01/business/ai-tech-economy.html,2024-04-01T14:53:30Z
artificial intelligence,The New York Times,By Jordyn Holman and Jeanna Smialek,Will A.I. Boost Productivity? Companies Sure Hope So.,"Economists doubt that artificial intelligence is already visible in productivity data. Big companies, however, talk often about adopting it to improve efficiency.","Economists doubt that artificial intelligence is already visible in productivity data. Big companies, however, talk often about adopting it to improve efficiency.",https://www.nytimes.com/2024/04/01/business/economy/artificial-intelligence-productivity.html,2024-04-01T14:53:48Z
artificial intelligence,The New York Times,By Matthew Cullen,Florida’s Top Court Allowed a Six-Week Abortion Ban,"Also, an Israeli strike killed top Iranian commanders, Iran said. Here’s the latest at the end of Monday.","Also, an Israeli strike killed top Iranian commanders, Iran said. Here’s the latest at the end of Monday.",https://www.nytimes.com/2024/04/01/briefing/florida-court-abortion-israel-strike-iran-commanders.html,2024-04-01T21:41:27Z
artificial intelligence,The New York Times,By Patricia Cohen,Poor Nations Are Writing a New Handbook for Getting Rich,"Economies focused on exports have lifted millions out of poverty, but epochal changes in trade, supply chains and technology are making it a lot harder.","Economies focused on exports have lifted millions out of poverty, but epochal changes in trade, supply chains and technology are making it a lot harder.",https://www.nytimes.com/2024/04/02/business/economy/global-economic-growth.html,2024-04-02T04:00:13Z
artificial intelligence,The New York Times,By Keith Bradsher,"China’s Electric Cars Keep Improving, a Worry for Rivals Elsewhere",More capable autonomous driving is just one way Chinese automakers are threatening to pull ahead — their E.V.s are also becoming bigger and roomier.,More capable autonomous driving is just one way Chinese automakers are threatening to pull ahead — their E.V.s are also becoming bigger and roomier.,https://www.nytimes.com/2024/05/01/business/china-electric-vehicles.html,2024-05-01T04:00:13Z
artificial intelligence,The New York Times,By Daniel E. Slotnik,Wednesday Briefing,Demonstrations disrupt U.S. colleges.,Demonstrations disrupt U.S. colleges.,https://www.nytimes.com/2024/05/01/briefing/columbia-protest-arrest-trump-contempt.html,2024-05-01T04:02:04Z
artificial intelligence,The New York Times,By Brian X. Chen,"Hey, A.I. Let’s Talk","Meta, Google and others are driving a renaissance for voice assistants, but people have found the technology uncool for more than a decade.","Meta, Google and others are driving a renaissance for voice assistants, but people have found the technology uncool for more than a decade.",https://www.nytimes.com/2024/05/01/technology/personaltech/ai-voice-assistants.html,2024-05-01T09:03:37Z
artificial intelligence,The New York Times,By Julian E. Barnes,Will Hamas Say No?,We explain why a cease-fire hasn’t happened.,We explain why a cease-fire hasn’t happened.,https://www.nytimes.com/2024/05/01/briefing/ceasefire.html,2024-05-01T10:48:45Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",The Cannabis Industry Hopes for New Highs,The Justice Department’s recommendation that restrictions on marijuana be lifted have revived expectations for a business that has waited years for such a change.,The Justice Department’s recommendation that restrictions on marijuana be lifted have revived expectations for a business that has waited years for such a change.,https://www.nytimes.com/2024/05/01/business/dealbook/cannabis-business-law.html,2024-05-01T12:06:09Z
artificial intelligence,The New York Times,By Manohla Dargis,‘The Fall Guy’ Review: Ryan Gosling Goes Pow! Splat! Ouch!,"The actor charms as a swaggering stunt man, alongside an underused Emily Blunt, in the latest skull-rattling action movie from David Leitch.","The actor charms as a swaggering stunt man, alongside an underused Emily Blunt, in the latest skull-rattling action movie from David Leitch.",https://www.nytimes.com/2024/05/02/movies/fall-guy-ryan-gosling.html,2024-05-02T09:03:13Z
